rm_item_desc;date;amount_rs_crore;prompts_time_1;sequence
RM1.3) Bankers' deposits with RBI ;6/21/2002;69538;6/21/2002;1153
RM1.3) Bankers' deposits with RBI ;6/28/2002;60275;6/28/2002;1153
RM1.3) Bankers' deposits with RBI ;7/5/2002;71830;7/5/2002;1153
RM1.3) Bankers' deposits with RBI ;7/12/2002;78807;7/12/2002;1153
RM1.3) Bankers' deposits with RBI ;7/19/2002;64462;7/19/2002;1153
RM1.3) Bankers' deposits with RBI ;7/26/2002;76947;7/26/2002;1153
RM1.3) Bankers' deposits with RBI ;8/2/2002;68198;8/2/2002;1153
RM1.3) Bankers' deposits with RBI ;8/9/2002;75325;8/9/2002;1153
RM1.3) Bankers' deposits with RBI ;8/16/2002;70090;8/16/2002;1153
RM1.3) Bankers' deposits with RBI ;8/23/2002;72258;8/23/2002;1153
RM1.3) Bankers' deposits with RBI ;8/30/2002;62474;8/30/2002;1153
RM1.3) Bankers' deposits with RBI ;9/6/2002;81730;9/6/2002;1153
RM1.3) Bankers' deposits with RBI ;9/13/2002;68346;9/13/2002;1153
RM1.3) Bankers' deposits with RBI ;9/20/2002;72726;9/20/2002;1153
RM1.3) Bankers' deposits with RBI ;9/27/2002;78072;9/27/2002;1153
RM1.3) Bankers' deposits with RBI ;10/4/2002;71515;10/4/2002;1153
RM1.3) Bankers' deposits with RBI ;10/11/2002;69902;10/11/2002;1153
RM1.3) Bankers' deposits with RBI ;10/18/2002;66637;10/18/2002;1153
RM1.3) Bankers' deposits with RBI ;10/25/2002;72192;10/25/2002;1153
RM1.3) Bankers' deposits with RBI ;11/1/2002;86679;11/1/2002;1153
RM1.3) Bankers' deposits with RBI ;11/8/2002;65778;11/8/2002;1153
RM1.3) Bankers' deposits with RBI ;11/15/2002;73033;11/15/2002;1153
RM1.3) Bankers' deposits with RBI ;11/22/2002;69087;11/22/2002;1153
RM1.3) Bankers' deposits with RBI ;11/29/2002;71688;11/29/2002;1153
RM1) Reserve Money (Liabilities/Components) ;1/4/2002;308738;1/4/2002;1154
RM1) Reserve Money (Liabilities/Components) ;1/11/2002;311012;1/11/2002;1154
RM1) Reserve Money (Liabilities/Components) ;1/18/2002;313026;1/18/2002;1154
RM1) Reserve Money (Liabilities/Components) ;1/25/2002;317418;1/25/2002;1154
RM1) Reserve Money (Liabilities/Components) ;2/1/2002;311911;2/1/2002;1154
RM1) Reserve Money (Liabilities/Components) ;2/8/2002;324182;2/8/2002;1154
RM1) Reserve Money (Liabilities/Components) ;2/15/2002;315806;2/15/2002;1154
RM1) Reserve Money (Liabilities/Components) ;2/22/2002;320250;2/22/2002;1154
RM1) Reserve Money (Liabilities/Components) ;3/1/2002;323359;3/1/2002;1154
RM1) Reserve Money (Liabilities/Components) ;3/8/2002;322498;3/8/2002;1154
RM1) Reserve Money (Liabilities/Components) ;3/15/2002;329919;3/15/2002;1154
RM1) Reserve Money (Liabilities/Components) ;3/22/2002;322100;3/22/2002;1154
RM1) Reserve Money (Liabilities/Components) ;3/29/2002;333456;3/29/2002;1154
RM1) Reserve Money (Liabilities/Components) ;4/5/2002;322577;4/5/2002;1154
RM1) Reserve Money (Liabilities/Components) ;4/12/2002;333246;4/12/2002;1154
RM1) Reserve Money (Liabilities/Components) ;4/19/2002;344009;4/19/2002;1154
RM1) Reserve Money (Liabilities/Components) ;4/26/2002;336848;4/26/2002;1154
RM1) Reserve Money (Liabilities/Components) ;5/3/2002;345722;5/3/2002;1154
RM1) Reserve Money (Liabilities/Components) ;5/10/2002;345590;5/10/2002;1154
RM1) Reserve Money (Liabilities/Components) ;5/17/2002;350024;5/17/2002;1154
RM1) Reserve Money (Liabilities/Components) ;5/24/2002;350840;5/24/2002;1154
RM1) Reserve Money (Liabilities/Components) ;5/31/2002;338618;5/31/2002;1154
RM1) Reserve Money (Liabilities/Components) ;6/7/2002;342403;6/7/2002;1154
RM1) Reserve Money (Liabilities/Components) ;6/14/2002;345068;6/14/2002;1154
RM1) Reserve Money (Liabilities/Components) ;6/21/2002;341901;6/21/2002;1154
RM1) Reserve Money (Liabilities/Components) ;6/28/2002;329120;6/28/2002;1154
RM1) Reserve Money (Liabilities/Components) ;7/5/2002;343272;7/5/2002;1154
RM1) Reserve Money (Liabilities/Components) ;7/12/2002;350724;7/12/2002;1154
RM1) Reserve Money (Liabilities/Components) ;7/19/2002;332800;7/19/2002;1154
RM1) Reserve Money (Liabilities/Components) ;7/26/2002;341714;7/26/2002;1154
RM1) Reserve Money (Liabilities/Components) ;8/2/2002;331913;8/2/2002;1154
RM1) Reserve Money (Liabilities/Components) ;8/9/2002;341863;8/9/2002;1154
RM1) Reserve Money (Liabilities/Components) ;8/16/2002;336415;8/16/2002;1154
RM1) Reserve Money (Liabilities/Components) ;8/23/2002;336451;8/23/2002;1154
RM1) Reserve Money (Liabilities/Components) ;8/30/2002;323872;8/30/2002;1154
RM1) Reserve Money (Liabilities/Components) ;9/6/2002;346375;9/6/2002;1154
RM1) Reserve Money (Liabilities/Components) ;9/13/2002;334064;9/13/2002;1154
RM1) Reserve Money (Liabilities/Components) ;9/20/2002;335911;9/20/2002;1154
